Body,mass,x,y,vx,vy
1,10.000000,3.150000,0.945000,1.000000,0.300000
2,40.000000,3.575000,8.300000,0.500000,2.000000
3,30.000000,8.355000,9.615000,1.700000,2.100000
4,34.000000,4.315000,6.835000,0.100000,0.900000
1,10.000000,3.200000,0.960000,1.000000,0.300000
2,40.000000,3.600000,8.400000,0.500000,2.000000
3,30.000000,8.440000,9.720000,1.700000,2.100000
4,34.000000,4.320000,6.880000,0.100000,0.900000
1,10.000000,3.250000,0.975000,1.000000,0.300000
2,40.000000,3.625000,8.500000,0.500000,2.000000
3,30.000000,8.525000,9.825000,1.700000,2.100000
4,34.000000,4.325000,6.925000,0.100000,0.900000
1,10.000000,3.300000,0.990000,1.000000,0.300000
2,40.000000,3.650000,8.600000,0.500000,2.000000
3,30.000000,8.610000,9.930000,1.700000,2.100000
4,34.000000,4.330000,6.970000,0.100000,0.900000
1,10.000000,3.350000,1.005000,1.000000,0.300000
2,40.000000,3.675000,8.700000,0.500000,2.000000
3,30.000000,8.695000,10.035000,1.700000,2.100000
4,34.000000,4.335000,7.015000,0.100000,0.900000
1,10.000000,3.400000,1.020000,1.000000,0.300000
2,40.000000,3.700000,8.800000,0.500000,2.000000
3,30.000000,8.780000,10.140000,1.700000,2.100000
4,34.000000,4.340000,7.060000,0.100000,0.900000
1,10.000000,3.450000,1.035000,1.000000,0.300000
2,40.000000,3.725000,8.900000,0.500000,2.000000
3,30.000000,8.865000,10.245000,1.700000,2.100000
4,34.000000,4.345000,7.105000,0.100000,0.900000
1,10.000000,3.500000,1.050000,1.000000,0.300000
2,40.000000,3.750000,9.000000,0.500000,2.000000
3,30.000000,8.950000,10.350000,1.700000,2.100000
4,34.000000,4.350000,7.150000,0.100000,0.900000
1,10.000000,3.550000,1.065000,1.000000,0.300000
2,40.000000,3.775000,9.100000,0.500000,2.000000
3,30.000000,9.035000,10.455000,1.700000,2.100000
4,34.000000,4.355000,7.195000,0.100000,0.900000
1,10.000000,3.600000,1.080000,1.000000,0.300000
2,40.000000,3.800000,9.200000,0.500000,2.000000
3,30.000000,9.120000,10.560000,1.700000,2.100000
4,34.000000,4.360000,7.240000,0.100000,0.900000
1,10.000000,3.650000,1.095000,1.000000,0.300000
2,40.000000,3.825000,9.300000,0.500000,2.000000
3,30.000000,9.205000,10.665000,1.700000,2.100000
4,34.000000,4.365000,7.285000,0.100000,0.900000
1,10.000000,3.700000,1.110000,1.000000,0.300000
2,40.000000,3.850000,9.400000,0.500000,2.000000
3,30.000000,9.290000,10.770000,1.700000,2.100000
4,34.000000,4.370000,7.330000,0.100000,0.900000
1,10.000000,3.750000,1.125000,1.000000,0.300000
2,40.000000,3.875000,9.500000,0.500000,2.000000
3,30.000000,9.375000,10.875000,1.700000,2.100000
4,34.000000,4.375000,7.375000,0.100000,0.900000
1,10.000000,3.800000,1.140000,1.000000,0.300000
2,40.000000,3.900000,9.600000,0.500000,2.000000
3,30.000000,9.460000,10.980000,1.700000,2.100000
4,34.000000,4.380000,7.420000,0.100000,0.900000
1,10.000000,3.850000,1.155000,1.000000,0.300000
2,40.000000,3.925000,9.700000,0.500000,2.000000
3,30.000000,9.545000,11.085000,1.700000,2.100000
4,34.000000,4.385000,7.465000,0.100000,0.900000
1,10.000000,3.900000,1.170000,1.000000,0.300000
2,40.000000,3.950000,9.800000,0.500000,2.000000
3,30.000000,9.630000,11.190000,1.700000,2.100000
4,34.000000,4.390000,7.510000,0.100000,0.900000
1,10.000000,3.950000,1.185000,1.000000,0.300000
2,40.000000,3.975000,9.900000,0.500000,2.000000
3,30.000000,9.715000,11.295000,1.700000,2.100000
4,34.000000,4.395000,7.555000,0.100000,0.900000
1,10.000000,4.000000,1.200000,1.000000,0.300000
2,40.000000,4.000000,10.000000,0.500000,2.000000
3,30.000000,9.800000,11.400000,1.700000,2.100000
4,34.000000,4.400000,7.600000,0.100000,0.900000
1,10.000000,4.050000,1.215000,1.000000,0.300000
2,40.000000,4.025000,10.100000,0.500000,2.000000
3,30.000000,9.885000,11.505000,1.700000,2.100000
4,34.000000,4.405000,7.645000,0.100000,0.900000
1,10.000000,4.100000,1.230000,1.000000,0.300000
2,40.000000,4.050000,10.200000,0.500000,2.000000
3,30.000000,9.970000,11.610000,1.700000,2.100000
4,34.000000,4.410000,7.690000,0.100000,0.900000
1,10.000000,4.150000,1.245000,1.000000,0.300000
2,40.000000,4.075000,10.300000,0.500000,2.000000
3,30.000000,10.055000,11.715000,1.700000,2.100000
4,34.000000,4.415000,7.735000,0.100000,0.900000
1,10.000000,4.200000,1.260000,1.000000,0.300000
2,40.000000,4.100000,10.400000,0.500000,2.000000
3,30.000000,10.140000,11.820000,1.700000,2.100000
4,34.000000,4.420000,7.780000,0.100000,0.900000
1,10.000000,4.250000,1.275000,1.000000,0.300000
2,40.000000,4.125000,10.500000,0.500000,2.000000
3,30.000000,10.225000,11.925000,1.700000,2.100000
4,34.000000,4.425000,7.825000,0.100000,0.900000
1,10.000000,4.300000,1.290000,1.000000,0.300000
2,40.000000,4.150000,10.600000,0.500000,2.000000
3,30.000000,10.310000,12.030000,1.700000,2.100000
4,34.000000,4.430000,7.870000,0.100000,0.900000
1,10.000000,4.350000,1.305000,1.000000,0.300000
2,40.000000,4.175000,10.700000,0.500000,2.000000
3,30.000000,10.395000,12.135000,1.700000,2.100000
4,34.000000,4.435000,7.915000,0.100000,0.900000
1,10.000000,4.400000,1.320000,1.000000,0.300000
2,40.000000,4.200000,10.800000,0.500000,2.000000
3,30.000000,10.480000,12.240000,1.700000,2.100000
4,34.000000,4.440000,7.960000,0.100000,0.900000
1,10.000000,4.450000,1.335000,1.000000,0.300000
2,40.000000,4.225000,10.900000,0.500000,2.000000
3,30.000000,10.565000,12.345000,1.700000,2.100000
4,34.000000,4.445000,8.005000,0.100000,0.900000
1,10.000000,4.500000,1.350000,1.000000,0.300000
2,40.000000,4.250000,11.000000,0.500000,2.000000
3,30.000000,10.650000,12.450000,1.700000,2.100000
4,34.000000,4.450000,8.050000,0.100000,0.900000
1,10.000000,4.550000,1.365000,1.000000,0.300000
2,40.000000,4.275000,11.100000,0.500000,2.000000
3,30.000000,10.735000,12.555000,1.700000,2.100000
4,34.000000,4.455000,8.095000,0.100000,0.900000
1,10.000000,4.600000,1.380000,1.000000,0.300000
2,40.000000,4.300000,11.200000,0.500000,2.000000
3,30.000000,10.820000,12.660000,1.700000,2.100000
4,34.000000,4.460000,8.140000,0.100000,0.900000
1,10.000000,4.650000,1.395000,1.000000,0.300000
2,40.000000,4.325000,11.300000,0.500000,2.000000
3,30.000000,10.905000,12.765000,1.700000,2.100000
4,34.000000,4.465000,8.185000,0.100000,0.900000
1,10.000000,4.700000,1.410000,1.000000,0.300000
2,40.000000,4.350000,11.400000,0.500000,2.000000
3,30.000000,10.990000,12.870000,1.700000,2.100000
4,34.000000,4.470000,8.230000,0.100000,0.900000
1,10.000000,4.750000,1.425000,1.000000,0.300000
2,40.000000,4.375000,11.500000,0.500000,2.000000
3,30.000000,11.075000,12.975000,1.700000,2.100000
4,34.000000,4.475000,8.275000,0.100000,0.900000
1,10.000000,4.800000,1.440000,1.000000,0.300000
2,40.000000,4.400000,11.600000,0.500000,2.000000
3,30.000000,11.160000,13.080000,1.700000,2.100000
4,34.000000,4.480000,8.320000,0.100000,0.900000
1,10.000000,4.850000,1.455000,1.000000,0.300000
2,40.000000,4.425000,11.700000,0.500000,2.000000
3,30.000000,11.245000,13.185000,1.700000,2.100000
4,34.000000,4.485000,8.365000,0.100000,0.900000
1,10.000000,4.900000,1.470000,1.000000,0.300000
2,40.000000,4.450000,11.800000,0.500000,2.000000
3,30.000000,11.330000,13.290000,1.700000,2.100000
4,34.000000,4.490000,8.410000,0.100000,0.900000
1,10.000000,4.950000,1.485000,1.000000,0.300000
2,40.000000,4.475000,11.900000,0.500000,2.000000
3,30.000000,11.415000,13.395000,1.700000,2.100000
4,34.000000,4.495000,8.455000,0.100000,0.900000
1,10.000000,5.000000,1.500000,1.000000,0.300000
2,40.000000,4.500000,12.000000,0.500000,2.000000
3,30.000000,11.500000,13.500000,1.700000,2.100000
4,34.000000,4.500000,8.500000,0.100000,0.900000
1,10.000000,5.050000,1.515000,1.000000,0.300000
2,40.000000,4.525000,12.100000,0.500000,2.000000
3,30.000000,11.585000,13.605000,1.700000,2.100000
4,34.000000,4.505000,8.545000,0.100000,0.900000
1,10.000000,5.100000,1.530000,1.000000,0.300000
2,40.000000,4.550000,12.200000,0.500000,2.000000
3,30.000000,11.670000,13.710000,1.700000,2.100000
4,34.000000,4.510000,8.590000,0.100000,0.900000
1,10.000000,5.150000,1.545000,1.000000,0.300000
2,40.000000,4.575000,12.300000,0.500000,2.000000
3,30.000000,11.755000,13.815000,1.700000,2.100000
4,34.000000,4.515000,8.635000,0.100000,0.900000
1,10.000000,5.200000,1.560000,1.000000,0.300000
2,40.000000,4.600000,12.400000,0.500000,2.000000
3,30.000000,11.840000,13.920000,1.700000,2.100000
