n_bodies,n_threads,n_retries,mean_comp_time,hyper_threading
1080,120,21,12.716017541431,True
1200,1,9,34.519131819407,True
1200,2,16,19.175519227982,True
1200,4,21,11.375064395723,True
1200,6,21,8.584282852355,True
1200,12,21,7.254570030031,True
1200,24,21,8.561472733816,True
1200,30,21,8.891909167880,True
1200,40,21,9.256605988457,True
1200,60,21,10.351157392774,True
1200,120,21,14.085868733270,True
1320,1,8,41.837705582380,True
1320,2,13,23.256864217611,True
1320,4,21,13.694139310292,True
1320,6,21,10.219448486964,True
1320,12,21,8.476051637105,True
1320,24,21,9.879964737665,True
1320,30,21,10.305749893188,True
1320,40,21,10.643433763867,True
1320,60,21,11.789563485554,True
1320,120,20,15.324452006817,True
1440,1,7,49.666226863861,True
1440,2,11,27.493808572943,True
1440,4,19,16.036370440533,True
1440,6,21,11.929300240108,True
1440,12,21,9.776191075643,True
1440,24,21,11.405397029150,True
1440,30,21,11.867095413662,True
1440,40,21,12.037036396208,True
1440,60,21,13.202135449364,True
1440,120,19,16.497246001896,True
1560,1,6,58.428860187531,True
1560,2,10,32.242244410515,True
1560,4,17,18.724937032251,True
1560,6,21,13.819801932289,True
1560,12,21,11.197071098146,True
1560,24,21,13.025804667246,True
1560,30,21,13.334798960459,True
1560,40,21,13.485621191206,True
1560,60,21,14.781705969856,True
1560,120,17,17.980806967791,True
1680,1,5,67.984166240692,True
1680,2,8,37.720579594374,True
1680,4,14,21.575197730746,True
1680,6,19,15.957028489364,True
1680,12,21,12.848199617295,True
1680,24,21,14.705979029338,True
1680,30,21,14.886578934533,True
1680,40,20,15.251674866676,True
1680,60,19,16.406360550931,True
1680,120,16,19.801674842834,True
1800,1,4,77.067865729332,True
1800,2,7,43.293335608074,True
1800,4,13,24.637688856858,True
1800,6,17,18.234203633140,True
1800,12,20,15.283438408375,True
1800,24,18,17.110859208637,True
1800,30,18,17.488919085926,True
1800,40,17,17.735858945286,True
1800,60,16,18.866920918226,True
1800,120,14,21.989248582295,True
1920,1,4,88.728448927402,True
1920,2,7,48.892073597227,True
1920,4,11,27.934517275203,True
1920,6,15,20.339200417201,True
1920,12,19,16.382744575802,True
1920,24,17,18.441708508660,True
1920,30,17,18.636864634121,True
1920,40,16,19.182412490249,True
1920,60,15,20.099357271194,True
1920,120,13,23.813130158644,True
2040,1,3,101.010943412781,True
2040,2,6,55.626130183538,True
2040,4,10,31.388691592216,True
2040,6,13,23.093450509585,True
2040,12,16,19.115211188793,True
2040,24,15,21.315803146362,True
2040,30,14,22.036295124463,True
2040,40,14,22.239826696260,True
2040,60,13,23.253460058799,True
2040,120,12,26.986426293850,True
2160,1,3,112.534687678019,True
2160,2,5,61.194767284393,True
2160,4,9,34.614800559150,True
2160,6,12,25.899440964063,True
2160,12,13,23.894323789156,True
2160,24,13,24.535336696185,True
2160,30,13,24.643103416149,True
2160,40,13,24.844407705160,True
2160,60,12,26.201233009497,True
2160,120,10,30.149007725716,True
2280,1,3,125.108388344447,True
2280,2,5,67.821862840652,True
2280,4,8,38.656298786402,True
2280,6,9,33.527429501216,True
2280,12,9,33.627615822686,True
2280,24,10,30.261969876289,True
2280,30,11,28.931040373715,True
2280,40,11,29.344486821782,True
2280,60,11,29.959029219367,True
2280,120,10,33.265094804764,True
2400,1,3,136.329255183538,True
2400,2,4,74.953934013844,True
2400,4,8,42.334714263678,True
2400,6,9,34.423032787111,True
2400,12,9,34.479396555159,True
2400,24,10,30.430408978462,True
2400,30,11,29.106955896724,True
2400,40,11,29.736713886261,True
2400,60,10,30.832671594620,True
2400,120,9,34.674065510432,True
