n_bodies,n_threads,n_retries,mean_comp_time,hyper_threading,speed_up,efficiency
960,40,21,5.436832870756,True,3.701510220569951,0.09253775551424878
960,60,21,5.378845555442,True,3.741414813123463,0.06235691355205772
960,120,21,5.399828240985,True,3.7268764006025172,0.03105730333835431
1080,1,12,26.45589564244,True,1.0,1.0
1080,2,20,15.524099481106,True,1.704182305365849,0.8520911526829245
1080,4,21,9.15030621347,True,2.8912579563178724,0.7228144890794681
1080,6,21,8.368570441291,True,3.1613399000509235,0.5268899833418206
1080,12,21,6.493690785908,True,4.074092302000599,0.33950769183338325
1080,24,21,6.393638065883,True,4.137846929999202,0.17241028874996675
1080,30,21,6.600475118274,True,4.008180497369729,0.13360601657899096
1080,40,21,6.615105299723,True,3.9993158753720537,0.09998289688430134
1080,60,21,6.573674236025,True,4.02452185681131,0.0670753642801885
1080,120,21,6.593483448029,True,4.012430735736283,0.03343692279780235
1200,1,10,31.666834139824,True,1.0,1.0
1200,2,17,19.282007343629,True,1.6422996618288859,0.8211498309144429
1200,4,21,11.795472133727,True,2.6846601628838975,0.6711650407209744
1200,6,21,10.132348412559,True,3.125320295991115,0.5208867159985192
1200,12,21,7.712164912905,True,4.106088821678972,0.34217406847324766
1200,24,21,7.636624642781,True,4.146705595875931,0.1727793998281638
1200,30,21,7.888078939347,True,4.014517905223382,0.13381726350744608
1200,40,21,7.906516574678,True,4.005156232928489,0.10012890582321224
1200,60,21,7.83159995079,True,4.043469321569427,0.06739115535949045
1200,120,21,7.910012858255,True,4.0033859245596615,0.03336154937133051
1320,1,8,37.59515324235,True,1.0,1.0
1320,2,15,23.12454512914,True,1.6257683354374444,0.8128841677187222
1320,4,21,14.036036389215,True,2.6784736231688124,0.6696184057922031
1320,6,21,11.940041553406,True,3.1486618429418836,0.5247769738236473
1320,12,21,9.046607176463,True,4.155718548293237,0.3463098790244364
1320,24,21,8.961661077681,True,4.195109915055888,0.17479624646066202
1320,30,21,9.260418460483,True,4.059768292629524,0.13532560975431748
1320,40,21,9.273415293012,True,4.054078465641445,0.10135196164103613
1320,60,21,9.148730436961,True,4.10933008698836,0.06848883478313934
1320,120,21,9.226787192481,True,4.074565984678466,0.03395471653898721
1440,1,7,45.266892739705,True,1.0,1.0
1440,2,11,27.256913510236,True,1.6607490324502652,0.8303745162251326
1440,4,19,16.371816773164,True,2.764927885945108,0.691231971486277
1440,6,21,14.069844847634,True,3.217298643297913,0.5362164405496522
1440,12,21,10.55469195048,True,4.2887933586395555,0.3573994465532963
1440,24,21,10.484884738922,True,4.317347673996376,0.17988948641651567
1440,30,21,10.787372623171,True,4.196285260645662,0.1398761753548554
1440,40,21,10.756336734408,True,4.20839304843466,0.1052098262108665
1440,60,21,10.676408018385,True,4.239899099187148,0.07066498498645246
1440,120,21,10.801269122532,True,4.190886480670678,0.034924054005588984
1560,1,6,51.731661121051,True,1.0,1.0
1560,2,10,31.848972582817,True,1.6242803747132806,0.8121401873566403
1560,4,16,19.057204172015,True,2.714546197548619,0.6786365493871548
1560,6,19,16.347590709987,True,3.164482279914637,0.5274137133191061
1560,12,21,12.21005035582,True,4.236809809420054,0.3530674841183378
1560,24,21,12.176102411179,True,4.24862237308021,0.17702593221167542
1560,30,21,12.479114259992,True,4.145459368611003,0.1381819789537001
1560,40,21,12.39758570989,True,4.172720587023874,0.10431801467559684
1560,60,21,12.300687619618,True,4.205590997900452,0.07009318329834087
1560,120,21,12.469830183756,True,4.148545758741765,0.034571214656181376
1680,1,6,58.930412491163,True,1.0,1.0
1680,2,9,36.653887271881,True,1.6077534165488478,0.8038767082744239
1680,4,14,22.190398199218,True,2.655671699178419,0.6639179247946048
1680,6,16,19.221532195807,True,3.0658540583990552,0.5109756763998425
1680,12,18,17.019227491485,True,3.462578575945756,0.28854821466214636
1680,24,20,15.45396900177,True,3.8132865728159206,0.15888694053399668
1680,30,21,14.613922391619,True,4.032484292167806,0.13441614307226019
1680,40,21,14.607902935573,True,4.034145951754398,0.10085364879385994
