n_bodies,n_threads,n_retries,mean_comp_time,hyper_threading,speed_up,efficiency
2040,4,10,31.388691592216,True,3.218067982095515,0.8045169955238788
2040,6,13,23.093450509585,True,4.374008265713957,0.7290013776189929
2040,12,16,19.115211188793,True,5.284322648342091,0.4403602206951742
2040,24,15,21.315803146362,True,4.738781959994816,0.19744924833311736
2040,30,14,22.036295124463,True,4.583844191696563,0.15279480638988543
2040,40,14,22.23982669626,True,4.541894358815651,0.11354735897039128
2040,60,13,23.253460058799,True,4.343910246361764,0.0723985041060294
2040,120,12,26.98642629385,True,3.74302778414942,0.03119189820124517
2160,1,3,112.534687678019,True,1.0,1.0
2160,2,5,61.194767284393,True,1.8389593207378636,0.9194796603689318
2160,4,9,34.61480055915,True,3.251056942700536,0.812764235675134
2160,6,12,25.899440964063,True,4.345062421778428,0.7241770702964047
2160,12,13,23.894323789156,True,4.709682879960419,0.3924735733300349
2160,24,13,24.535336696185,True,4.5866371866629825,0.19110988277762428
2160,30,13,24.643103416149,True,4.566579370205187,0.1522193123401729
2160,40,13,24.84440770516,True,4.529578205828846,0.11323945514572116
2160,60,12,26.201233009497,True,4.295014957396441,0.07158358262327402
2160,120,10,30.149007725716,True,3.7326166320900516,0.03110513860075043
2280,1,3,125.108388344447,True,1.0,1.0
2280,2,5,67.821862840652,True,1.844661634234231,0.9223308171171155
2280,4,8,38.656298786402,True,3.2364295670349064,0.8091073917587266
2280,6,9,33.527429501216,True,3.731523418456803,0.6219205697428005
2280,12,9,33.627615822686,True,3.720406138934353,0.31003384491119607
2280,24,10,30.261969876289,True,4.134178602909539,0.17225744178789745
2280,30,11,28.931040373715,True,4.324365343532994,0.1441455114510998
2280,40,11,29.344486821782,True,4.2634375957660575,0.10658593989415144
2280,60,11,29.959029219367,True,4.175982720547258,0.06959971200912096
2280,120,10,33.265094804764,True,3.760950903002682,0.03134125752502235
2400,1,3,136.329255183538,True,1.0,1.0
2400,2,4,74.953934013844,True,1.818840558233514,0.909420279116757
2400,4,8,42.334714263678,True,3.220271060161724,0.805067765040431
2400,6,9,34.423032787111,True,3.9604080217645357,0.6600680036274226
2400,12,9,34.479396555159,True,3.9539339084848244,0.32949449237373535
2400,24,10,30.430408978462,True,4.480033616374626,0.18666806734894273
2400,30,11,29.106955896724,True,4.683734557033562,0.15612448523445205
2400,40,11,29.736713886261,True,4.5845433932269515,0.11461358483067378
2400,60,10,30.83267159462,True,4.421584252443636,0.0736930708740606
2400,120,9,34.674065510432,True,3.931735525576663,0.032764462713138855
